buy_price,demand,sell_price,tick,sun,buy_price_forecast_1,sell_price_forecast_1,demand_forecast_1,buy_price_forecast_2,sell_price_forecast_2,demand_forecast_2,buy_price_forecast_3,sell_price_forecast_3,demand_forecast_3,buy_price_forecast_5,sell_price_forecast_5,demand_forecast_5,buy_price_forecast_8,sell_price_forecast_8,demand_forecast_8,buy_price_forecast_12,sell_price_forecast_12,demand_forecast_12,buy_price_forecast_20,sell_price_forecast_20,demand_forecast_20,price_volatility,price_momentum,price_rsi,price_spread,spread_ma,sun_forecast,sun_trend,demand_volatility,demand_trend,price_demand_corr,storage,profit,storage_state,action
26,1.3979212800353382,52,8,0,38.25263157894736,76.94736842105263,0.6939517200682184,38.119548872180445,76.68045112781955,0.6308652000620167,37.986466165413525,76.41353383458647,0.6556139766756153,37.72030075187969,75.8796992481203,0.7442946305342153,37.32105263157894,75.07894736842105,0.8446742875077667,36.78872180451127,74.01127819548873,0.9483332151522055,35.72406015037593,71.87593984962406,1.7597040453863806,11.590717701769174,0.13043478260869557,52.601156069364166,26,19.4,0.0,0.0,0.9173297511106058,-0.0026827075731300654,0.39073590040477846,38.30029237109784,-1091.9354998486476,no_change,grid_0.116J_std
18,0.6059596006991623,37,9,0,38.25263157894736,76.94736842105263,0.6308652000620167,38.119548872180445,76.68045112781955,0.6556139766756153,37.986466165413525,76.41353383458647,0.6051821323159525,37.72030075187969,75.8796992481203,0.7457003721674371,37.32105263157894,75.07894736842105,0.8551967571573984,36.78872180451127,74.01127819548873,0.9586094883463435,35.72406015037593,71.87593984962406,1.792184684534703,11.590717701769174,0.3846153846153846,52.601156069364166,19,19.4,0.0,0.0,0.9173297511106058,-0.0026827075731300654,0.39073590040477846,38.281142224912294,-1102.8427726612326,no_change,buy_4.800J@13.00
6,0.0,12,10,0,38.25263157894736,76.94736842105263,0.6556139766756153,38.119548872180445,76.68045112781955,0.6051821323159525,37.986466165413525,76.41353383458647,0.7442946305342153,37.72030075187969,75.8796992481203,0.8219789483904533,37.32105263157894,75.07894736842105,0.9506158313842012,36.78872180451127,74.01127819548873,1.0951380526209102,35.72406015037593,71.87593984962406,1.9072501169709308,11.590717701769174,-0.5384615384615384,52.601156069364166,6,16.6,0.0,0.0,0.9173297511106058,-0.0026827075731300654,0.39073590040477846,43.89624085997592,-1145.099566707553,charged,grid_0.057J_std
23,0.927850519425199,47,11,0,38.25263157894736,76.94736842105263,0.6051821323159525,38.119548872180445,76.68045112781955,0.7442946305342153,37.986466165413525,76.41353383458647,0.7457003721674371,37.72030075187969,75.8796992481203,0.8446742875077667,37.32105263157894,75.07894736842105,1.0091615671121,36.78872180451127,74.01127819548873,1.2193312521087205,35.72406015037593,71.87593984962406,2.0121489808450983,11.590717701769174,0.7692307692307692,52.601156069364166,24,16.4,0.0,0.0,0.9173297511106058,-0.0026827075731300654,0.39073590040477846,43.874292739545936,-1166.4401286543327,no_change,buy_4.800J@13.00
12,0.0,25,12,0,38.25263157894736,76.94736842105263,0.7442946305342153,38.119548872180445,76.68045112781955,0.7457003721674371,37.986466165413525,76.41353383458647,0.8219789483904533,37.72030075187969,75.8796992481203,0.8551967571573984,37.32105263157894,75.07894736842105,0.9483332151522055,36.78872180451127,74.01127819548873,1.3167554920378066,35.72406015037593,71.87593984962406,2.154635872047046,11.590717701769174,0.09090909090909083,52.601156069364166,13,16.4,0.0,0.0,0.9173297511106058,-0.0026827075731300654,0.39073590040477846,43.85235559317616,-1166.4401286543327,no_change,grid_0.106J_std
44,2.5527571073716313,89,13,0,38.25263157894736,76.94736842105263,0.7457003721674371,38.119548872180445,76.68045112781955,0.8219789483904533,37.986466165413525,76.41353383458647,0.8446742875077667,37.72030075187969,75.8796992481203,0.9506158313842012,37.32105263157894,75.07894736842105,0.9586094883463435,36.78872180451127,74.01127819548873,1.4592472329085147,35.72406015037593,71.87593984962406,2.1319388823376384,11.590717701769174,0.6923076923076923,54.01459854014599,45,18.5,10.0,0.0,0.9173297511106058,-0.0026827075731300654,0.39073590040477846,43.4313005907657,-1250.3434690661768,discharged,buy_4.800J@11.00
29,0.7653807550325413,58,14,0,38.25263157894736,76.94736842105263,0.8219789483904533,38.119548872180445,76.68045112781955,0.8446742875077667,37.986466165413525,76.41353383458647,0.8551967571573984,37.72030075187969,75.8796992481203,1.0091615671121,37.32105263157894,75.07894736842105,1.0951380526209102,36.78872180451127,74.01127819548873,1.5575683359457593,35.72406015037593,71.87593984962406,2.1464204386615915,11.590717701769174,0.6111111111111112,48.684210526315795,29,20.0,20.0,0.0,0.9173297511106058,-0.0026827075731300654,0.39073590040477846,43.409584940470324,-1272.5395109621204,no_change,grid_1.398J_std
43,1.966157591735697,86,15,0,38.25263157894736,76.94736842105263,0.8446742875077667,38.119548872180445,76.68045112781955,0.8551967571573984,37.986466165413525,76.41353383458647,0.9506158313842012,37.72030075187969,75.8796992481203,0.9483332151522055,37.32105263157894,75.07894736842105,1.2193312521087205,36.78872180451127,74.01127819548873,1.6843177045922446,35.72406015037593,71.87593984962406,2.086732828543326,11.590717701769174,6.166666666666667,55.69620253164557,43,23.0,30.0,0.0,0.9173297511106058,-0.0026827075731300654,0.39073590040477846,42.43205046436219,-1291.3232051724676,discharged,grid_0.606J_std
33,1.207799713384782,66,16,10,38.25263157894736,76.94736842105263,0.8551967571573984,38.119548872180445,76.68045112781955,0.9506158313842012,37.986466165413525,76.41353383458647,1.0091615671121,37.72030075187969,75.8796992481203,0.9586094883463435,37.32105263157894,75.07894736842105,1.3167554920378066,36.78872180451127,74.01127819548873,1.7597040453863806,35.72406015037593,71.87593984962406,2.1565490512167727,11.590717701769174,0.4347826086956521,56.41025641025641,33,24.9,40.0,1.9999999999999993,0.9173297511106058,-0.0026827075731300654,0.39073590040477846,42.666834439130014,-1331.1805957141655,charged,buy_7.043J@6.00
28,1.0340787412011367,56,17,20,38.25263157894736,76.94736842105263,0.9506158313842012,38.119548872180445,76.68045112781955,1.0091615671121,37.986466165413525,76.41353383458647,0.9483332151522055,37.72030075187969,75.8796992481203,1.0951380526209102,37.32105263157894,75.07894736842105,1.4592472329085147,36.78872180451127,74.01127819548873,1.792184684534703,35.72406015037593,71.87593984962406,2.297356485730584,11.590717701769174,1.3333333333333335,51.65562913907284,28,26.6,49.0,4.999999999999998,0.9173297511106058,-0.0026827075731300654,0.39073590040477846,43.15750102191045,-1360.1348004677973,charged,grid_0.928J_std
