time_ms	voltage_Va	voltage_Vb	current_A	power_W
1234	14.1992	1.4974	0.2788	0.4175
1236	14.195	1.5139	0.2895	0.4383
1238	14.195	1.5097	0.2876	0.4342
1240	14.2115	1.5097	0.3058	0.4617
1242	14.232	1.5139	0.3016	0.4566
1244	14.1992	1.5056	0.2981	0.4488
1248	14.195	1.518	0.3112	0.4724
1251	14.1868	1.518	0.3076	0.4669
1253	14.2279	1.5262	0.3046	0.4649
1255	14.2197	1.5221	0.3008	0.4578
1257	14.1909	1.5303	0.2979	0.4559
1259	14.1827	1.5303	0.3151	0.4822
1261	14.2074	1.5303	0.3118	0.4771
1263	14.1992	1.5303	0.308	0.4713
1265	14.195	1.5303	0.3064	0.4689
1267	14.2074	1.5344	0.3236	0.4965
1269	14.1293	1.5385	0.3189	0.4906
1271	14.2238	1.5385	0.3153	0.4851
1273	14.1992	1.5426	0.3119	0.4811
1275	14.2156	1.5467	0.3134	0.4847
1277	14.1909	1.5508	0.3252	0.5043
1279	14.2156	1.559	0.3241	0.5053
1281	14.2197	1.5467	0.3206	0.4959
1283	14.1909	1.5508	0.3168	0.4913
1285	14.195	1.5508	0.3136	0.4863
1287	14.1909	1.5549	0.3102	0.4823
1289	14.195	1.5631	0.3268	0.5108
1291	14.1992	1.559	0.3228	0.5032
1296	14.2279	1.5631	0.3144	0.4914
1299	14.2115	1.5795	0.3114	0.4919
1301	14.1992	1.5672	0.3084	0.4833
1303	14.1909	1.5754	0.3253	0.5125
1305	14.1868	1.5631	0.3211	0.5019
1307	14.2074	1.5754	0.3179	0.5008
1309	14.195	1.5795	0.316	0.4991
1311	14.2074	1.5877	0.3129	0.4968
1313	14.1827	1.5836	0.3301	0.5227
1315	14.195	1.5754	0.3257	0.5131
1317	14.1909	1.5877	0.3222	0.5116
1319	14.2279	1.6082	0.3191	0.5132
1321	14.2033	1.5918	0.316	0.503
1323	14.1909	1.5918	0.3137	0.4993
1325	14.1827	1.6	0.3316	0.5306
1327	14.1992	1.5959	0.3276	0.5228
1329	14.2074	1.5959	0.3234	0.5161
1331	14.2074	1.6	0.32	0.512
1333	14.1992	1.6	0.3167	0.5067
1335	14.2197	1.6041	0.3159	0.5067
1337	14.1992	1.6082	0.33	0.5307
1339	14.2197	1.6164	0.3287	0.5313
1341	14.195	1.6082	0.3251	0.5228
1343	14.1909	1.6164	0.3214	0.5195
1345	14.195	1.6205	0.318	0.5153
1347	14.2074	1.6123	0.3147	0.5074
1349	14.1786	1.6287	0.3112	0.5069
1351	14.195	1.6164	0.3285	0.531
1353	14.2074	1.6451	0.3247	0.5342
1355	14.195	1.6246	0.3206	0.5208
1360	14.232	1.6205	0.3153	0.5109
1363	14.2074	1.6246	0.31	0.5036
1365	14.1868	1.6246	0.3132	0.5088
1367	14.1909	1.6328	0.3263	0.5328
1369	14.2115	1.6451	0.3212	0.5284
1371	14.2115	1.6533	0.3176	0.5251
1373	14.195	1.6369	0.3143	0.5145
1375	14.2115	1.6369	0.314	0.514
1377	14.1909	1.6574	0.3282	0.544
1379	14.1992	1.6533	0.3253	0.5378
1381	14.195	1.6574	0.3238	0.5367
1383	14.2115	1.641	0.3198	0.5248
1385	14.195	1.6492	0.3163	0.5216
1387	14.2156	1.6533	0.3129	0.5173
1389	14.2115	1.6533	0.3298	0.5453
1391	14.2197	1.6574	0.3256	0.5397
1393	14.1868	1.6533	0.3224	0.533
1395	14.2074	1.6656	0.3192	0.5317
1397	14.1868	1.6533	0.3168	0.5238
1399	14.2197	1.6615	0.314	0.5217
1401	14.2074	1.6492	0.3318	0.5472
1403	14.232	1.6738	0.3302	0.5527
1405	14.2074	1.6656	0.3241	0.5398
1407	14.195	1.6738	0.3202	0.536
1409	14.2238	1.6615	0.3194	0.5307
1411	14.2197	1.6738	0.3218	0.5386
1413	14.2238	1.6615	0.3329	0.5531
1415	14.2074	1.6656	0.3307	0.5508
1417	14.2115	1.682	0.3277	0.5512
1419	14.1992	1.6861	0.3242	0.5466
1424	14.2361	1.6861	0.3152	0.5315
1427	14.2279	1.6861	0.3131	0.5279
1429	14.195	1.6861	0.3092	0.5214
1431	14.2074	1.6984	0.3239	0.5501
1433	14.1786	1.6615	0.3227	0.5362
1435	14.2238	1.6984	0.3195	0.5427
1437	14.2156	1.6902	0.3159	0.5339
1439	14.2156	1.6984	0.3133	0.5321
1441	14.2279	1.6943	0.3117	0.5281
1443	14.0594	1.7066	0.3289	0.5613
1445	14.2238	1.6861	0.3251	0.5482
1447	14.2115	1.7025	0.3211	0.5467
1449	14.1992	1.7148	0.3174	0.5443
1451	14.1909	1.6984	0.3161	0.5369
1453	14.2197	1.7189	0.3285	0.5647
1455	14.2074	1.7189	0.3284	0.5645
1457	14.2074	1.7148	0.3254	0.558
1459	14.2279	1.7107	0.3226	0.5519
1463	14.1992	1.723	0.3129	0.5391
1466	14.2197	1.7271	0.3114	0.5378
1468	14.2238	1.7107	0.3151	0.5391
1470	14.2197	1.7148	0.3267	0.5602
1472	14.2115	1.7271	0.3197	0.5522
1474	14.2074	1.7313	0.3195	0.5531
1476	14.2238	1.7148	0.3156	0.5412
1478	14.2238	1.7395	0.3127	0.5439
1480	14.195	1.7395	0.3308	0.5754
1482	14.232	1.7518	0.3256	0.5704
1484	14.1992	1.7436	0.3228	0.5628
1486	14.2074	1.7477	0.3209	0.5608
1524	14.2156	1.7641	0.2698	0.4759
1527	14.2156	1.7641	0.2728	0.4812
1529	14.2115	1.7682	0.282	0.4986
1531	14.2156	1.7723	0.2786	0.4938
1533	14.2197	1.7641	0.2953	0.5209
1535	14.2156	1.7723	0.2913	0.5163
1537	14.2115	1.7764	0.2912	0.5173
1539	14.2197	1.7764	0.3058	0.5432
1542	14.2115	1.7846	0.3017	0.5384
1544	14.2197	1.7805	0.2984	0.5313
1546	14.2156	1.7969	0.3186	0.5725
1548	14.2156	1.7887	0.3149	0.5633
1550	14.195	1.7928	0.309	0.554
1552	14.2238	1.7887	0.306	0.5473
1554	14.2115	1.7928	0.3047	0.5463
1556	14.1827	1.7928	0.3186	0.5712
1558	14.2156	1.7887	0.3168	0.5667
1560	14.1992	1.8051	0.3139	0.5666
1562	14.2115	1.7846	0.3124	0.5575
1564	14.2197	1.8133	0.3282	0.5951
