time_ms	voltage_Va	voltage_Vb	current_A	power_W
981	14.2238	13.8923	0.0041	0.0583
984	14.2197	13.8964	0.0041	0.0583
987	14.232	13.8759	0.0039	0.0555
990	14.2403	13.8718	0.0044	0.0627
993	14.2444	13.8759	0.0042	0.0598
996	14.2485	13.9169	0.0041	0.0584
999	14.2238	13.8923	0.004	0.0569
1002	14.2485	13.8636	0.004	0.057
1005	14.232	13.8923	0.0042	0.0598
1008	14.2238	13.8841	0.004	0.0569
1011	14.2444	13.8718	0.0042	0.0598
1014	14.2444	13.8841	0.0039	0.0556
1017	14.2608	13.8841	0.0039	0.0556
1020	14.2526	13.8718	0.004	0.057
1023	14.2444	13.8718	0.0042	0.0598
1026	14.2279	13.8882	0.0041	0.0583
1029	14.2403	13.8718	0.0041	0.0584
1032	14.2197	13.8923	0.0043	0.0611
1035	14.2403	13.8677	0.004	0.057
1038	14.2238	13.8759	0.0042	0.0597
1044	14.2238	13.8759	0.0041	0.0583
1048	14.2238	13.8841	0.0044	0.0626
1051	14.2403	13.8677	0.0042	0.0598
1054	14.2361	13.8882	0.0044	0.0626
1057	14.2444	13.8759	0.004	0.057
1060	14.232	13.88	0.0043	0.0612
1063	14.2279	13.8964	0.004	0.0569
1066	14.2444	13.8636	0.0042	0.0598
1069	14.2403	13.8718	0.0039	0.0555
1072	14.2403	13.8718	0.004	0.057
1075	14.2444	13.8759	0.0042	0.0598
1078	14.2608	13.8718	0.0038	0.0542
1081	14.2238	13.8923	0.0042	0.0597
1084	14.232	13.8759	0.004	0.0569
1092	14.2649	13.8718	0.0043	0.0613
1095	14.2279	13.8677	0.0039	0.0555
1098	14.2156	13.8759	0.0041	0.0583
1101	14.2197	13.8841	0.0042	0.0597
1104	14.2279	13.8923	0.0038	0.0541
1107	14.2156	13.8759	0.0042	0.0597
1110	14.232	13.8841	0.004	0.0569
1113	14.232	13.8759	0.004	0.0569
1116	14.2444	13.8595	0.004	0.057
1119	14.2485	13.8841	0.0042	0.0598
1122	14.2485	13.8677	0.004	0.057
1125	14.2238	13.8759	0.0041	0.0583
1128	14.2403	13.8964	0.0042	0.0598
1131	14.2485	13.8759	0.0042	0.0598
1136	14.2444	13.8759	0.0042	0.0598
1142	14.2444	13.8841	0.004	0.057
1146	14.2444	13.8759	0.0042	0.0598
1149	14.2403	13.8636	0.0041	0.0584
1152	14.2526	13.8759	0.0041	0.0584
1155	14.2526	13.88	0.004	0.057
1158	14.2485	13.8636	0.0045	0.0641
1161	14.232	13.8759	0.0041	0.0584
1164	14.2279	13.8636	0.0041	0.0583
1167	14.2279	13.8759	0.004	0.0569
1170	14.2567	13.8677	0.0041	0.0585
1173	14.232	13.8882	0.004	0.0569
1176	14.2279	13.8718	0.0045	0.064
1179	14.2403	13.8677	0.0044	0.0627
1182	14.2649	13.8718	0.0041	0.0585
1185	14.2485	13.8718	0.004	0.057
1188	14.2197	13.8841	0.0039	0.0555
